AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,384.05
AAdk,BBtw,CCst,DDnw,897.42
AAdk,BBtw,CCbx,DDrz,771.5
AAdk,BBtw,CChv,DDcl,646.95
AAdk,BBtw,CCst,DDlp,776.62
AAdk,BBtw,CCbx,DDcs,397.0
AAdk,BBtw,CChv,DDhm,526.93
AAdk,BBtw,CCst,DDnt,657.0
AAdk,BBtw,CCbx,DDnw,532.25
AAdk,BBrv,CChv,DDnt,790.9
AAdk,BBrv,CCst,DDnw,539.02
AAdk,BBrv,CCbx,DDrz,672.8
AAdk,BBrv,CChv,DDcl,689.15
AAdk,BBrv,CCst,DDlp,189.71
AAdk,BBrv,CCbx,DDcs,459.81
AAdk,BBrv,CChv,DDhm,589.01
AAdk,BBrv,CCst,DDnt,336.66
AAdk,BBrv,CCbx,DDnw,469.64
AAdk,BBtw,CChv,DDnt,984.4
AAdk,BBtw,CCst,DDnw,224.08
AAdk,BBtw,CCbx,DDrz,483.54
AAdk,BBtw,CChv,DDcl,998.01
AAdk,BBtw,CCst,DDlp,104.01
AAdk,BBtw,CCbx,DDcs,625.66
AAdk,BBtw,CChv,DDhm,114.79
AAdk,BBtw,CCst,DDnt,753.97
AAdk,BBtw,CCbx,DDnw,639.58
