CC,DD,AAcqx_BBgv,AAcqx_BBcjx,AAfnw_BBbgp,AAfnw_BBkrs,AApqr_BBqz,AApqr_BBnqx,AApqr_BBlt,EE,FF
Minimum,,73.17,37.88,64.19,16.85,50.33,1.07,91.75,,
,  ,73.17,37.88,64.19,16.85,50.33,1.07,91.75,,
CCbt,,73.17,37.88,64.19,16.85,52.44,1.07,91.75,,
,  DDhpt,81.84,43.13,64.52,20.82,57.52,4.79,93.80,EEhpx,FFgqt
,  DDmx,73.17,37.88,64.19,16.85,52.44,1.07,91.75,EEmz,FFgqt
,  DDmpy,85.98,49.04,70.34,28.97,60.70,14.64,98.19,EEmz,FFgqt
CCcy,,77.23,40.68,64.61,17.51,50.33,2.55,93.01,,
,  DDhlt,83.99,50.71,71.80,34.52,60.71,15.54,99.72,EEhpx,FFlmr
,  DDbkv,77.23,40.68,65.63,17.51,50.33,2.55,93.07,EEhpx,FFlmr
,  DDbmz,83.48,44.99,64.61,23.07,58.98,4.86,93.01,EEmz,FFlmr
CCkqy,,80.38,40.95,64.56,20.50,54.89,3.33,93.34,,
,  DDcwz,80.38,40.95,64.56,20.50,54.89,3.33,93.34,EEmz,FFbpv
,  DDmx,91.73,51.39,72.03,34.08,60.62,16.11,99.19,EEmz,FFbpv
,  DDbsz,84.66,47.10,69.39,26.15,59.42,7.82,97.34,EEhpx,FFbpv
