Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,262.12
AAdk,BBtw,CChv,DDtv,EEmn,780.97
AAdk,BBtw,CChv,DDpw,EEfh,269.48
AAdk,BBtw,CChv,DDnt,EElp,782.48
AAdk,BBtw,CChv,DDtv,EEfx,791.13
AAdk,BBtw,CChv,DDpw,EEhr,415.04
AAdk,BBst,CChv,DDnt,EEdn,165.27
AAdk,BBst,CChv,DDtv,EEmn,687.88
AAdk,BBst,CChv,DDpw,EEfh,184.28
AAdk,BBst,CChv,DDnt,EElp,569.13
AAdk,BBst,CChv,DDtv,EEfx,314.33
AAdk,BBst,CChv,DDpw,EEhr,579.43
AAdk,BBtw,CChv,DDnt,EEdn,328.76
AAdk,BBtw,CChv,DDtv,EEmn,843.35
AAdk,BBtw,CChv,DDpw,EEfh,468.01
AAdk,BBtw,CChv,DDnt,EElp,856.84
AAdk,BBtw,CChv,DDtv,EEfx,606.19
AAdk,BBtw,CChv,DDpw,EEhr,355.71
AAdk,BBst,CChv,DDnt,EEdn,868.31
AAdk,BBst,CChv,DDtv,EEmn,365.61
AAdk,BBst,CChv,DDpw,EEfh,753.24
AAdk,BBst,CChv,DDnt,EElp,243.21
AAdk,BBst,CChv,DDtv,EEfx,372.81
AAdk,BBst,CChv,DDpw,EEhr,250.67
