DD,EE,AAhpx_BBlsx_CCcqx,AAhpx_BBlmr_CCcqx,AAgqt_BBhpt_CCkrs,AAgqt_BBdfv_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBgv_CCbt,AApqr_BBnry_CCbt,AApqr_BBnqx_CCbt
DDmx,,39.11,-51.55,-1.40,-10.08,25.49,52.13,-41.17,11.82
,  EEcrv,-43.75,-91.93,-62.03,-2.76,29.38,97.68,-77.64,19.03
,  EEmz,79.89,-97.21,57.61,-17.59,21.31,-36.17,38.49,4.05
,  EEkqy,81.20,34.50,0.22,-9.90,25.77,94.87,-84.35,12.38
DDcy,,39.31,-9.02,-61.52,-8.39,26.77,12.89,4.96,13.42
,  EEmz,-42.79,37.01,-54.47,-1.44,29.53,-18.65,52.38,20.42
,  EEbkv,80.25,29.43,-66.76,-16.68,24.30,92.06,42.84,6.77
,  EEqz,80.48,-93.50,-63.32,-7.06,26.49,-34.75,-80.33,13.07
Average,,39.21,-30.28,-31.46,-9.24,26.13,32.51,-18.10,12.62
,  ,39.21,-30.28,-31.46,-9.24,26.13,32.51,-18.10,12.62
