CC,DD,EE,FF,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBqz,AApqr_BBnqx,AApqr_BBlt,AAfnw_BBknr,AAfnw_BBbgp,AAfnw_BBkrs
CCkqy,DDcwz,EEmz,FFgqt,23.23,57.12,37.37,3.24,81.70,19.47,41.23,12.74
,DDbsz,EEmz,FFgqt,22.51,65.39,40.04,6.93,79.56,99.31,47.65,18.76
,DDbkv,EEmz,FFgqt,30.32,79.58,42.64,6.30,90.83,0.01,49.26,18.70
CCcy,DDbmz,EEmz,FFgqt,22.42,38.84,39.50,5.42,80.00,98.48,48.71,16.19
,DDbkv,EEmz,FFgqt,23.08,56.72,33.98,1.37,79.04,94.24,39.68,8.79
,DDmx,EEmz,FFgqt,29.64,76.93,42.32,5.37,87.24,21.64,51.47,20.15
CCbt,DDmpy,EEmz,FFgqt,21.77,69.51,39.47,5.85,79.61,99.57,50.90,18.02
,DDhpt,EEmz,FFgqt,23.43,59.82,38.54,3.97,83.15,97.37,47.28,14.55
,DDmx,EEmz,FFgqt,22.22,53.01,33.28,0.18,79.06,92.17,44.72,8.86
Minimum,,,,21.77,38.84,33.28,0.18,79.04,0.01,39.68,8.79
