Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,901.13
AAdk,BBtw,CCst,DDnw,140.73
AAdk,BBtw,CCbx,DDrz,14.38
AAdk,BBtw,CChv,DDcl,658.26
AAdk,BBtw,CCst,DDlp,19.98
AAdk,BBtw,CCbx,DDcs,408.97
AAdk,BBtw,CChv,DDhm,542.86
AAdk,BBtw,CCst,DDdf,545.7
AAdk,BBtw,CCbx,DDjn,35.25
AAdk,BBrv,CChv,DDnt,803.98
AAdk,BBrv,CCst,DDnw,423.0
AAdk,BBrv,CCbx,DDrz,808.55
AAdk,BBrv,CChv,DDcl,554.85
AAdk,BBrv,CCst,DDlp,683.35
AAdk,BBrv,CCbx,DDcs,172.35
AAdk,BBrv,CChv,DDhm,556.24
AAdk,BBrv,CCst,DDdf,815.08
AAdk,BBrv,CCbx,DDjn,435.75
AAdk,BBmn,CChv,DDnt,310.37
AAdk,BBmn,CCst,DDnw,823.79
AAdk,BBmn,CCbx,DDrz,58.07
AAdk,BBmn,CChv,DDcl,442.41
AAdk,BBmn,CCst,DDlp,189.2
AAdk,BBmn,CCbx,DDcs,447.98
AAdk,BBmn,CChv,DDhm,585.29
AAdk,BBmn,CCst,DDdf,331.43
AAdk,BBmn,CCbx,DDjn,78.59
AAdk,BBtw,CChv,DDnt,719.57
AAdk,BBtw,CCst,DDnw,464.67
AAdk,BBtw,CCbx,DDrz,80.93
AAdk,BBtw,CChv,DDcl,469.81
AAdk,BBtw,CCst,DDlp,348.35
AAdk,BBtw,CCbx,DDcs,606.63
AAdk,BBtw,CChv,DDhm,493.29
AAdk,BBtw,CCst,DDdf,366.71
AAdk,BBtw,CCbx,DDjn,498.48
