AA,BB,CC,Value
AA,BB,CC,Value
AAdk,BBtw,CChv,1.62
AAdk,BBdn,CCrv,2.8
AAdk,BBnw,CCtv,3.85
AAdk,BBtw,CCrz,2.7
AAdk,BBdn,CCfh,2.94
AAdk,BBnw,CCdl,10.19
AAdk,BBtw,CCjz,11.17
AAdk,BBdn,CChv,11.41
AAdk,BBnw,CCrv,13.32
AAnt,BBtw,CChv,13.2
AAnt,BBdn,CCrv,15.87
AAnt,BBnw,CCtv,15.36
AAnt,BBtw,CCrz,17.15
AAnt,BBdn,CCfh,15.16
AAnt,BBnw,CCdl,15.17
AAnt,BBtw,CCjz,20.11
AAnt,BBdn,CChv,20.38
AAnt,BBnw,CCrv,16.88
AAst,BBtw,CChv,23.95
AAst,BBdn,CCrv,16.54
AAst,BBnw,CCtv,25.26
AAst,BBtw,CCrz,26.85
AAst,BBdn,CCfh,25.69
AAst,BBnw,CCdl,23.9
AAst,BBtw,CCjz,10.45
AAst,BBdn,CChv,10.62
AAst,BBnw,CCrv,13.89
