AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,516.2
AAdk,BBtw,CCst,DDnw,654.34
AAdk,BBtw,CCbx,DDrz,402.94
AAdk,BBtw,CChv,DDcl,275.34
AAdk,BBtw,CCst,DDlp,661.18
AAdk,BBtw,CCbx,DDcs,541.89
AAdk,BBrv,CChv,DDnt,799.91
AAdk,BBrv,CCst,DDnw,682.64
AAdk,BBrv,CCbx,DDrz,299.24
AAdk,BBrv,CChv,DDcl,45.93
AAdk,BBrv,CCst,DDlp,816.27
AAdk,BBrv,CCbx,DDcs,822.77
AAdk,BBmn,CChv,DDnt,319.39
AAdk,BBmn,CCst,DDnw,63.75
AAdk,BBmn,CCbx,DDrz,964.87
AAdk,BBmn,CChv,DDcl,973.96
AAdk,BBmn,CCst,DDlp,466.9
AAdk,BBmn,CCbx,DDcs,851.01
AAdk,BBtw,CChv,DDnt,852.84
AAdk,BBtw,CCst,DDnw,850.66
AAdk,BBtw,CCbx,DDrz,862.12
AAdk,BBtw,CChv,DDcl,609.87
AAdk,BBtw,CCst,DDlp,364.64
AAdk,BBtw,CCbx,DDcs,622.11
