CC,DD,AApqr_BBqz,AApqr_BBnqx,AAcqx_BBgv,AAcqx_BBcjx,AAfnw_BBkrs,AAfnw_BBbgp,EE,FF
CCbt,,49.81,0.53,80.21,41.07,15.41,68.18,,
,  DDmx,49.81,0.53,80.21,41.07,15.41,68.18,EEmz,FFgqt
,  DDmpy,64.95,15.90,95.26,50.59,27.87,75.19,EEmz,FFgqt
,  DDhpt,57.44,6.46,88.39,46.34,25.40,68.28,EEmz,FFgqt
CCkqy,,57.43,2.24,82.67,46.52,22.74,68.87,,
,  DDcwz,57.43,2.24,82.67,46.52,22.74,68.87,EEmz,FFgqt
,  DDhk,68.01,17.30,99.91,52.48,41.75,79.52,EEmz,FFgqt
,  DDbsz,60.32,14.84,93.97,49.13,26.83,74.03,EEmz,FFgqt
CCcy,,56.77,0.62,82.96,45.42,20.02,69.97,,
,  DDhlt,66.75,15.23,96.44,50.03,36.04,77.46,EEmz,FFgqt
,  DDbmz,58.99,12.97,90.47,48.93,26.99,73.55,EEmz,FFgqt
,  DDbkv,56.77,0.62,82.96,45.42,20.02,69.97,EEmz,FFgqt
Minimum,,49.81,0.53,80.21,41.07,15.41,68.18,,
,  ,49.81,0.53,80.21,41.07,15.41,68.18,,
