AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,960.66
AAdk,BBtw,CCst,DDnw,229.71
AAdk,BBtw,CChv,DDrz,230.3
AAdk,BBtw,CCst,DDcl,647.37
AAdk,BBtw,CChv,DDlp,72.38
AAdk,BBtw,CCst,DDcs,617.99
AAdk,BBrv,CChv,DDnt,524.41
AAdk,BBrv,CCst,DDnw,301.55
AAdk,BBrv,CChv,DDrz,717.67
AAdk,BBrv,CCst,DDcl,92.54
AAdk,BBrv,CChv,DDlp,311.21
AAdk,BBrv,CCst,DDcs,277.04
AAdk,BBtw,CChv,DDnt,214.64
AAdk,BBtw,CCst,DDnw,789.57
AAdk,BBtw,CChv,DDrz,27.46
AAdk,BBtw,CCst,DDcl,924.64
AAdk,BBtw,CChv,DDlp,189.45
AAdk,BBtw,CCst,DDcs,894.86
