AA,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,1.51
AApqr,BBnqx,CCbt,DDcy,EEbkv,9.3
AApqr,BBnqx,CCbt,DDcjx,EEkqy,13.36
AApqr,BBnqx,CCbt,DDmx,EEqz,15.79
AApqr,BBnqx,CCbt,DDcy,EEcrv,15.94
AApqr,BBnqx,CCbt,DDcjx,EEdhv,20.03
AApqr,BBnqx,CCbt,DDmx,EEbhk,20.56
AApqr,BBnqx,CCbt,DDcy,EEmpy,23.67
AApqr,BBnqx,CCbt,DDcjx,EEhq,-99.97
AApqr,BBnqx,CCbt,DDmx,EEksy,-98.62
AApqr,BBnqx,CCbt,DDcy,EEmz,-96.39
AApqr,BBnqx,CCbt,DDcjx,EEbkv,-89.12
AAgqt,BBfnw,CCkrs,DDmx,EEmz,-89.36
AAgqt,BBfnw,CCkrs,DDcy,EEbkv,-85.33
AAgqt,BBfnw,CCkrs,DDcjx,EEkqy,44.66
AAgqt,BBfnw,CCkrs,DDmx,EEqz,43.5
AAgqt,BBfnw,CCkrs,DDcy,EEcrv,-81.61
AAgqt,BBfnw,CCkrs,DDcjx,EEdhv,-80.29
AAgqt,BBfnw,CCkrs,DDmx,EEbhk,49.2
AAgqt,BBfnw,CCkrs,DDcy,EEmpy,55.7
AAgqt,BBfnw,CCkrs,DDcjx,EEhq,55.14
AAgqt,BBfnw,CCkrs,DDmx,EEksy,-71.51
AAgqt,BBfnw,CCkrs,DDcy,EEmz,72.49
AAgqt,BBfnw,CCkrs,DDcjx,EEbkv,-55.82
AApqr,BBlmr,CCcqx,DDmx,EEmz,73.76
AApqr,BBlmr,CCcqx,DDcy,EEbkv,76.42
AApqr,BBlmr,CCcqx,DDcjx,EEkqy,80.12
AApqr,BBlmr,CCcqx,DDmx,EEqz,-47.67
AApqr,BBlmr,CCcqx,DDcy,EEcrv,86.68
AApqr,BBlmr,CCcqx,DDcjx,EEdhv,86.35
AApqr,BBlmr,CCcqx,DDmx,EEbhk,87.78
AApqr,BBlmr,CCcqx,DDcy,EEmpy,-39.91
AApqr,BBlmr,CCcqx,DDcjx,EEhq,-39.41
AApqr,BBlmr,CCcqx,DDmx,EEksy,91.51
AApqr,BBlmr,CCcqx,DDcy,EEmz,88.43
AApqr,BBlmr,CCcqx,DDcjx,EEbkv,-33.86
AAgqt,BBnry,CCbpv,DDmx,EEmz,-32.64
AAgqt,BBnry,CCbpv,DDcy,EEbkv,97.15
AAgqt,BBnry,CCbpv,DDcjx,EEkqy,-31.65
AAgqt,BBnry,CCbpv,DDmx,EEqz,-29.46
AAgqt,BBnry,CCbpv,DDcy,EEcrv,-14.5
AAgqt,BBnry,CCbpv,DDcjx,EEdhv,-12.58
AAgqt,BBnry,CCbpv,DDmx,EEbhk,-11.96
AAgqt,BBnry,CCbpv,DDcy,EEmpy,-10.08
AAgqt,BBnry,CCbpv,DDcjx,EEhq,-9.4
AAgqt,BBnry,CCbpv,DDmx,EEksy,-8.9
AAgqt,BBnry,CCbpv,DDcy,EEmz,-6.45
AAgqt,BBnry,CCbpv,DDcjx,EEbkv,-3.28
