CC,DD,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBnqx,AApqr_BBlt,AApqr_BBqz,AAfnw_BBbgp,AAfnw_BBkrs,Minimum,EE,FF
CCbt,,31.12,80.21,10.70,94.95,48.01,62.95,19.45,10.70,,
,  DDmx,31.12,80.21,10.70,94.95,48.01,62.95,19.45,10.70,EEmz,FFgqt
,  DDcwz,43.31,87.27,12.45,96.00,53.55,69.20,22.64,12.45,EEmz,FFgqt
,  DDbmz,45.83,92.15,15.22,97.82,53.68,73.61,29.28,15.22,EEmz,FFgqt
CCcy,,32.06,81.32,11.23,95.23,52.09,61.72,21.23,11.23,,
,  DDbkv,32.06,81.32,11.23,95.75,52.09,61.72,21.66,11.23,EEmz,FFlmr
,  DDmx,46.01,93.36,16.43,99.01,61.30,79.92,29.42,16.43,EEmz,FFlmr
,  DDhpt,44.18,90.76,13.72,95.23,54.62,71.79,21.23,13.72,EEmz,FFlmr
Minimum,,31.12,80.21,10.70,94.95,48.01,61.72,19.45,10.70,,
,  ,31.12,80.21,10.70,94.95,48.01,61.72,19.45,10.70,,
