AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,898.8
AAdk,BBtw,CCst,DDnw,651.96
AAdk,BBtw,CCbx,DDrz,273.3
AAdk,BBtw,CChv,DDcl,19.24
AAdk,BBtw,CCst,DDlp,533.99
AAdk,BBtw,CCbx,DDcs,157.96
AAdk,BBtw,CChv,DDhm,803.53
AAdk,BBtw,CCst,DDdf,38.54
AAdk,BBtw,CCbx,DDnt,682.49
AAdk,BBrv,CChv,DDnt,939.11
AAdk,BBrv,CCst,DDnw,693.63
AAdk,BBrv,CCbx,DDrz,825.52
AAdk,BBrv,CChv,DDcl,576.51
AAdk,BBrv,CCst,DDlp,706.61
AAdk,BBrv,CCbx,DDcs,963.19
AAdk,BBrv,CChv,DDhm,579.65
AAdk,BBrv,CCst,DDdf,843.88
AAdk,BBrv,CCbx,DDnt,848.55
AAdk,BBtw,CChv,DDnt,596.09
AAdk,BBtw,CCst,DDnw,343.56
AAdk,BBtw,CCbx,DDrz,94.91
AAdk,BBtw,CChv,DDcl,738.77
AAdk,BBtw,CCst,DDlp,109.19
AAdk,BBtw,CCbx,DDcs,878.81
AAdk,BBtw,CChv,DDhm,629.64
AAdk,BBtw,CCst,DDdf,635.23
AAdk,BBtw,CCbx,DDnt,894.88
