CC,DD,AAcy_BBbkv,AAcy_BBhpt,AAmz_BBgqt,AAmz_BBbpv,AApqr_BBcjx,AApqr_BBbgp,AApqr_BBnqx
CChpx,DDmx,-70.89,-32.99,43.70,88.18,73.80,-1.20,-95.32
,DDcmp,54.16,85.22,40.08,-44.21,70.53,-12.22,20.34
,DDlmr,-81.51,89.49,-92.96,75.55,64.55,-16.06,10.53
CCbt,DDmx,40.28,-39.79,83.22,75.91,58.44,-27.36,0.31
,DDbmz,54.55,95.27,-87.45,85.85,72.50,-6.58,28.66
,DDcwz,-80.22,92.70,37.10,83.26,-63.36,-16.19,13.93
CCfnw,DDqz,52.31,-42.12,-93.53,-44.40,67.85,-17.91,16.92
,DDgv,-71.30,90.17,-87.63,87.04,-56.52,-4.64,31.09
,DDkrs,-84.43,90.07,35.83,76.91,63.98,-17.78,3.92
Average,,-20.78,47.56,-13.52,53.79,39.09,-13.33,3.38
