DD,EE,AApqr_BBlmr_CCcqx,AApqr_BBhpt_CCbt,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBlsx_CCkrs,AAgqt_BBnry_CCbpv,Average
DDcy,,25.09,39.43,16.67,-47.50,-3.44,-5.48,4.13
,  EEqz,54.20,84.17,10.93,-5.39,-24.76,-55.10,10.68
,  EEdhv,56.85,86.88,19.16,-83.86,-17.64,75.04,22.74
,  EEmpy,-70.76,-36.99,19.70,-81.05,-16.59,-52.41,-39.68
,  EEbkv,60.08,23.65,16.90,-19.70,45.22,10.56,22.79
DDmx,,54.17,37.04,12.98,-21.84,-21.89,-22.94,6.25
,  EEkqy,48.75,81.87,8.61,39.48,-25.05,71.65,37.55
,  EEmz,54.64,23.03,12.06,-86.37,-24.29,-54.67,-12.60
,  EEbhk,57.39,90.87,20.51,46.09,-16.42,-54.69,23.96
,  EEcrv,55.89,-47.61,10.74,-86.58,-21.79,-54.04,-23.90
