CC,DD,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBcjx,AApqr_BBnqx,AAmz_BBbpv,AAmz_BBgqt,Average
CCbt,,-13.10,26.49,17.72,-16.07,-4.22,-58.91,-8.02
,  DDmpy,-5.77,59.29,-46.38,-99.05,-32.83,47.33,-12.90
,  DDmx,-21.08,56.33,90.50,3.32,88.77,-95.12,20.45
,  DDbmz,-12.48,-67.77,-48.91,20.42,-34.52,-89.58,-38.81
,  DDcwz,-13.07,58.11,75.67,11.02,-38.30,-98.27,-0.81
CCfnw,,-10.44,-67.11,47.23,17.50,-36.41,-23.83,-12.17
,  DDqz,-12.61,-69.01,-52.12,11.60,-40.54,-91.37,-42.34
,  DDkrs,-17.29,-71.55,71.68,5.25,-40.27,34.49,-2.95
,  DDmx,-4.39,-62.72,86.53,31.55,-31.79,47.42,11.10
,  DDgv,-7.45,-65.16,82.84,21.58,-33.02,-85.84,-14.51
CChpx,,-9.59,-33.09,-17.22,-42.80,29.97,-56.29,-21.50
,  DDcmp,-12.69,-67.57,-50.48,16.48,92.69,-96.68,-19.71
,  DDkrs,-2.87,-59.06,-42.49,-98.45,99.08,-78.00,-30.30
,  DDdlz,-6.87,-64.15,83.85,-99.72,-32.94,43.67,-12.69
,  DDlmr,-15.95,58.43,-59.77,10.51,-38.93,-94.15,-23.31
Average,,-11.04,-24.57,15.91,-13.79,-3.55,-46.34,-13.90
,  ,-11.04,-24.57,15.91,-13.79,-3.55,-46.34,-13.90
