CC,DD,AApqr_BBnqx,AApqr_BBcjx,AAfnw_BBqz,AAfnw_BBkrs,Minimum,EE,FF
CCbt,,5.11,55.28,79.37,41.19,5.11,,
,  DDmx,5.11,55.28,79.37,41.19,5.11,EEmz,FFgqt
,  DDhpt,23.12,65.23,85.14,46.46,23.12,EEmz,FFlmr
,  DDmpy,35.78,71.26,94.79,49.24,35.78,EEmz,FFgqt
CCcy,,10.94,58.11,81.16,42.27,10.94,,
,  DDbmz,25.09,66.61,89.67,47.76,25.09,EEmz,FFgqt
,  DDmx,37.39,72.86,97.08,52.41,37.39,EEmz,FFlmr
,  DDbkv,10.94,58.11,81.16,42.27,10.94,EEmz,FFlmr
CCkqy,,11.05,60.47,82.90,45.36,11.05,,
,  DDbsz,32.90,68.25,92.60,46.86,32.90,EEmz,FFlmr
,  DDcwz,11.05,60.47,82.90,45.36,11.05,EEmz,FFgqt
,  DDbkv,41.43,79.54,97.58,55.95,41.43,EEmz,FFgqt
Minimum,,5.11,55.28,79.37,41.19,5.11,,
,  ,5.11,55.28,79.37,41.19,5.11,,
