DD,EE,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbpv,AApqr_BBgv_CCcqx,AAhpx_BBbwx_CCbt,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCkrs,AAgqt_BBdfv_CCbpv,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,Average
DDcy,EEbkv,3.13,66.51,-52.14,-25.62,47.22,-81.77,-45.88,97.61,24.13,3.69
,EEmz,19.26,75.52,-45.72,-3.10,60.97,-70.57,-34.70,-92.49,41.81,-5.45
,EEqz,8.66,69.52,-50.83,-16.93,50.95,-76.91,-39.69,-1.91,29.55,-3.07
,EEdhv,12.02,69.82,-47.79,-10.28,57.71,-74.53,-36.93,-95.81,32.20,-10.40
,EEkqy,22.56,90.30,-43.58,-1.33,61.28,-60.62,-33.59,-88.64,43.27,-1.15
DDmx,EEbkv,19.04,89.95,-45.26,-2.07,61.30,-70.52,-33.76,-91.02,42.66,-3.30
,EEmz,1.10,65.12,-57.41,-32.78,46.52,-85.94,-43.98,90.06,23.90,0.73
,EEbhk,15.13,73.32,-46.92,-7.67,57.26,-74.01,-35.86,-94.12,34.86,-8.67
,EEcrv,9.59,70.17,-48.82,-16.72,53.22,-76.93,-41.99,-96.75,30.77,-13.05
,EEkqy,5.41,67.57,-52.77,-21.41,49.53,-78.71,-40.57,97.82,26.92,5.98
Average,,11.59,73.78,-49.12,-13.79,54.60,-75.05,-38.70,-27.52,33.01,-3.47
