CC,DD,AAdk_BBmn,AAdk_BBtw,AAdk_BBdl,AAdn_BBpw,AAdn_BBrv,Minimum
CChv,,33.63,1.59,84.32,68.42,23.81,1.59
,  DDnt,33.63,1.59,84.32,68.42,23.81,1.59
,  DDhm,57.88,19.25,95.86,76.44,29.18,19.25
,  DDcl,48.52,8.45,92.96,69.17,25.52,8.45
CCbx,,41.82,5.99,89.05,69.14,25.14,5.99
,  DDrz,41.82,5.99,89.05,69.14,25.14,5.99
,  DDnt,68.96,22.72,97.54,83.89,33.07,22.72
,  DDcs,57.72,15.48,94.67,75.50,28.12,15.48
CCst,,37.10,2.05,87.61,70.64,23.07,2.05
,  DDdf,58.45,20.40,97.64,77.38,28.53,20.40
,  DDlp,51.30,13.06,93.53,72.46,27.48,13.06
,  DDnw,37.10,2.05,87.61,70.64,23.07,2.05
Minimum,,33.63,1.59,84.32,68.42,23.07,1.59
,  ,33.63,1.59,84.32,68.42,23.07,1.59
