CC,DD,EE,FF,AApqr_BBnqx,AApqr_BBqz,AAfnw_BBbgp,AAfnw_BBkrs,AAcqx_BBcjx,AAcqx_BBgv,Minimum
CCkqy,DDbkv,EEmz,FFbpv,14.92,61.52,68.30,34.24,48.16,85.34,14.92
,DDbsz,EEhpx,FFbpv,10.12,54.24,70.52,30.39,40.66,79.31,10.12
,DDcwz,EEmz,FFbpv,4.36,51.80,67.11,23.19,37.34,78.52,4.36
CCbt,DDhpt,EEhpx,FFgqt,5.80,53.66,68.94,25.89,38.54,78.69,5.80
,DDmpy,EEmz,FFgqt,12.57,58.39,71.42,31.36,44.87,80.21,12.57
,DDmx,EEmz,FFgqt,1.32,48.75,61.95,17.13,34.01,75.35,1.32
CCcy,DDbkv,EEhpx,FFlmr,2.20,50.78,65.24,21.53,35.50,77.71,2.20
,DDmx,EEhpx,FFlmr,13.65,60.21,72.72,32.99,44.06,83.69,13.65
,DDbmz,EEmz,FFlmr,7.14,53.77,69.42,29.83,40.58,78.27,7.14
Minimum,,,,1.32,48.75,61.95,17.13,34.01,75.35,1.32
