Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,256.05
AAdk,BBtw,CCst,DDnw,519.29
AAdk,BBtw,CCbx,DDrz,17.74
AAdk,BBtw,CChv,DDcl,20.67
AAdk,BBtw,CCst,DDlp,148.79
AAdk,BBtw,CCbx,DDcs,803.52
AAdk,BBtw,CChv,DDhm,679.91
AAdk,BBtw,CCst,DDdf,169.34
AAdk,BBtw,CCbx,DDnt,173.16
AAdk,BBrv,CChv,DDnt,947.63
AAdk,BBrv,CCst,DDnw,439.43
AAdk,BBrv,CCbx,DDrz,824.38
AAdk,BBrv,CChv,DDcl,314.7
AAdk,BBrv,CCst,DDlp,186.88
AAdk,BBrv,CCbx,DDcs,445.01
AAdk,BBrv,CChv,DDhm,191.96
AAdk,BBrv,CCst,DDdf,960.13
AAdk,BBrv,CCbx,DDnt,451.65
AAdk,BBtw,CChv,DDnt,582.8
AAdk,BBtw,CCst,DDnw,455.06
AAdk,BBtw,CCbx,DDrz,215.59
AAdk,BBtw,CChv,DDcl,865.82
AAdk,BBtw,CCst,DDlp,613.56
AAdk,BBtw,CCbx,DDcs,999.47
AAdk,BBtw,CChv,DDhm,744.01
AAdk,BBtw,CCst,DDdf,237.82
AAdk,BBtw,CCbx,DDnt,377.31
