CC,DD,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBnqx,AApqr_BBqz,AAfnw_BBkrs,AAfnw_BBbgp,Minimum,EE,FF
CCkqy,,41.55,90.51,0.33,53.22,20.91,75.57,0.33,,
,  DDmx,46.79,98.22,15.98,72.82,36.43,86.63,15.98,EEmz,FFgqt
,  DDbsz,46.44,94.87,5.85,61.37,27.61,81.52,5.85,EEhpx,FFlmr
,  DDcwz,41.55,90.51,0.33,53.22,20.91,75.57,0.33,EEmz,FFgqt
CCcy,,39.44,89.50,1.07,50.39,18.62,73.89,1.07,,
,  DDhlt,46.66,94.17,13.28,66.51,33.22,85.92,13.28,EEhpx,FFlmr
,  DDbmz,46.52,93.59,4.95,59.35,25.43,81.58,4.95,EEmz,FFgqt
,  DDbkv,39.44,89.50,1.07,50.39,18.62,73.89,1.07,EEhpx,FFlmr
CCbt,,37.19,89.46,0.44,48.67,16.10,73.47,0.44,,
,  DDmx,37.19,89.46,0.44,48.67,16.10,73.47,0.44,EEmz,FFgqt
,  DDhpt,45.74,92.46,3.76,55.62,23.38,76.03,3.76,EEhpx,FFlmr
,  DDmpy,48.00,95.27,8.27,61.96,31.74,84.83,8.27,EEmz,FFgqt
