CC,DD,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBbgp,AApqr_BBcjx,AApqr_BBnqx,AAmz_BBgqt,AAmz_BBbpv
CCfnw,,-51.41,74.89,-20.10,70.07,19.63,48.64,-78.40
,  DDqz,-56.89,67.85,-25.44,91.92,14.55,45.01,-84.56
,  DDgv,-52.67,76.69,-22.70,93.04,21.85,50.45,-77.04
,  DDknr,-45.69,82.22,-13.93,99.37,24.37,51.72,-74.01
,  DDkrs,-50.38,72.80,-18.33,-4.04,17.74,47.38,-77.98
CCbt,,-52.88,71.48,-21.80,68.57,18.00,47.82,-81.18
,  DDcwz,-56.83,62.29,-28.59,91.24,12.05,41.51,-86.91
,  DDmpy,-46.40,81.63,-15.22,95.73,22.60,53.41,-78.08
,  DDmx,-54.05,68.82,-20.04,-5.81,15.73,45.92,-80.90
,  DDbmz,-54.25,73.19,-23.36,93.11,21.61,50.42,-78.82
CChpx,,-51.00,76.89,-16.97,43.75,21.33,50.25,-75.81
,  DDdlz,-55.90,79.82,-16.56,93.82,23.82,52.14,-76.78
,  DDqtw,-45.76,82.48,-10.79,-7.55,25.59,55.55,-67.01
,  DDlmr,-46.00,72.12,-16.40,-2.98,19.35,48.17,-77.41
,  DDcmp,-56.36,73.14,-24.13,91.72,16.56,45.14,-82.04
Average,,-51.77,74.42,-19.62,60.80,19.65,48.90,-78.46
,  ,-51.77,74.42,-19.62,60.80,19.65,48.90,-78.46
