DD,EE,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCbt,AApqr_BBlmr_CCcqx,AAgqt_BBnry_CCbpv,AAgqt_BBfnw_CCkrs
Average,,1.93,14.18,-27.73,20.99,-51.18
,  ,1.93,14.18,-27.73,20.99,-51.18
DDmx,,20.79,38.58,-39.13,16.32,-84.72
,  EEbhk,27.20,-22.29,-69.29,83.30,-82.28
,  EEbkv,36.41,-9.69,-66.28,-40.71,-79.35
,  EEqz,16.16,94.57,54.31,82.43,-88.82
,  EEmz,3.37,91.73,-75.28,-59.75,-88.42
DDcjx,,26.37,29.54,-37.96,29.38,-49.74
,  EEkqy,11.24,93.81,-73.59,-51.58,40.40
,  EEdhv,18.79,49.38,-70.63,-9.18,-83.28
,  EEqz,38.67,-6.12,-62.31,90.76,-76.65
,  EEmz,36.79,-18.89,54.70,87.52,-79.44
DDcy,,-41.35,-25.60,-6.08,17.28,-19.09
,  EEmpy,-97.82,-21.44,-69.74,-42.73,47.16
,  EEcrv,16.33,-36.95,55.83,-46.89,-87.48
,  EEbkv,7.39,-36.35,54.23,75.28,-88.03
,  EEkqy,-91.31,-7.66,-64.66,83.46,51.98
