DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBnqx_CCprw,AAhpx_BBnqx_CCcqx,AApqr_BBfnw_CCbpv,AApqr_BBnqx_CCbt
Maximum,,17.39,20.70,25.91,27.78,8.96
,  ,17.39,20.70,25.91,27.78,8.96
DDcjx,,17.39,19.85,25.69,22.37,8.96
,  EEkqy,11.88,12.83,20.30,22.37,2.87
,  EEdhv,14.90,19.85,22.31,0.11,5.45
,  EEbkv,17.39,0.33,25.69,3.35,8.96
DDcy,,13.40,17.51,25.91,27.78,6.64
,  EEcrv,12.55,17.51,21.60,27.78,3.61
,  EEmz,13.40,3.65,25.91,2.43,6.64
,  EEbkv,10.85,10.38,19.97,25.85,0.64
DDmx,,15.57,20.70,24.68,27.54,5.10
,  EEqz,4.11,14.75,20.22,27.54,3.72
,  EEmz,9.38,3.02,18.89,21.66,0.45
,  EEbhk,15.57,20.70,24.68,3.84,5.10
