DD,EE,AApqr_BBlmr_CCbt,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBlsx_CCkrs,AAgqt_BBnry_CCkrs
DDcjx,,-34.98,20.48,-32.57,-19.60,40.13,4.94
,  EEdhv,-70.65,17.46,-43.80,-90.62,92.57,-64.46
,  EEkqy,-70.03,8.75,-9.40,37.18,95.70,63.66
,  EEhq,64.03,24.32,-40.30,48.46,-18.09,-59.31
,  EEbkv,-63.28,31.37,-36.79,-73.41,-9.67,79.86
DDmx,,27.99,14.88,28.48,-51.31,-30.34,-27.54
,  EEmz,-72.91,4.72,81.94,32.91,-35.66,-60.24
,  EEksy,64.27,23.71,-9.97,-79.40,-18.84,-50.53
,  EEbhk,61.40,22.01,87.62,-69.35,-26.49,-62.58
,  EEqz,59.20,9.08,-45.66,-89.40,-40.39,63.19
DDcy,,28.80,27.40,21.96,-51.75,-26.23,3.95
,  EEcrv,-69.33,17.87,85.29,-88.25,-33.99,-57.45
,  EEmz,64.06,62.19,-37.87,-75.06,-14.58,-61.86
,  EEbkv,57.10,6.52,-47.86,-91.53,-34.81,69.62
,  EEmpy,63.38,23.02,88.26,47.86,-21.54,65.48
Average,,7.27,20.92,5.96,-40.88,-5.48,-6.22
,  ,7.27,20.92,5.96,-40.88,-5.48,-6.22
