CC,DD,AAmz_BBcjx,AAmz_BBgqt,AApqr_BBnqx,AApqr_BBbkv
CCbt,DDmx,93.92,-95.79,1.95,65.17
,DDkrs,-11.47,62.29,20.44,91.06
,DDbmz,-23.79,55.21,10.70,78.15
,DDcwz,93.71,-85.31,8.26,-57.62
,DDmpy,-17.05,-70.84,17.76,85.83
CChpx,DDlmr,97.31,42.50,6.64,71.94
,DDdlz,-19.29,58.26,14.11,-45.68
,DDmx,-11.78,62.72,20.45,88.97
,DDcmp,-27.08,-74.81,10.32,-51.72
,DDcwz,-1.37,65.33,32.35,94.01
CCfnw,DDlmr,-3.02,-64.45,28.25,-35.61
,DDqz,-28.52,42.74,9.32,-55.89
,DDgv,-21.96,-73.22,10.17,-46.81
,DDknr,-16.74,-67.01,19.69,87.13
,DDkrs,-34.32,-91.59,2.31,67.83
Average,,4.57,-15.60,14.18,29.12
