DD,EE,AApqr_BBnqx_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCprw,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCbpv,Maximum
DDmx,,24.77,5.03,14.53,13.93,25.93,25.93
,  EEbhk,24.77,5.03,5.29,13.30,9.46,24.77
,  EEqz,18.56,4.24,14.53,13.93,7.82,18.56
,  EEmz,18.21,1.97,9.15,10.52,25.93,25.93
DDcjx,,26.39,9.66,13.36,18.65,26.56,26.56
,  EEdhv,24.05,5.86,3.63,13.61,9.37,24.05
,  EEkqy,21.42,3.27,13.36,9.93,26.56,26.56
,  EEmz,26.39,9.66,7.45,18.65,9.04,26.39
DDcy,,26.87,8.47,18.91,17.43,22.68,26.87
,  EEmpy,26.87,8.47,18.91,17.43,9.26,26.87
,  EEcrv,21.50,5.21,15.82,14.00,8.18,21.50
,  EEbkv,17.86,2.62,0.23,11.50,22.68,22.68
