DD,EE,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt,AApqr_BBnry_CCkrs,AAhpx_BBlmr_CCbt,AAhpx_BBlsx_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBdfv_CCkrs,AAgqt_BBhpt_CCbt,Average
DDmx,EEqz,13.65,-27.65,94.85,76.38,-63.51,32.69,-18.32,-86.64,2.68
,EEmz,13.55,-27.16,-0.80,77.22,-56.89,42.52,-12.46,-81.70,-5.72
,EEbhk,16.93,-24.73,-98.34,78.49,-65.97,43.35,-11.88,-77.87,-17.50
DDcy,EEcrv,13.19,-27.67,96.12,76.36,-63.09,34.16,-13.89,-79.41,4.47
,EEmpy,15.71,-23.92,-94.60,80.21,-59.52,45.03,-10.78,-75.89,-15.47
,EEbkv,15.30,-25.95,2.51,79.13,-52.81,44.39,-9.93,-81.55,-3.61
DDcjx,EEhq,21.04,-22.94,-91.88,81.67,-56.07,48.46,-10.48,-74.21,-13.05
,EEdhv,13.84,-25.73,-99.62,78.90,-62.65,39.45,-12.77,-77.30,-18.23
,EEkqy,17.41,-28.22,3.48,83.03,-49.12,47.48,-9.42,-81.97,-2.17
Average,,15.62,-26.00,-20.92,79.04,-58.85,41.95,-12.22,-79.62,-7.62
