AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,640.84
AAdk,BBtw,CChv,DDtv,EEmn,255.84
AAdk,BBtw,CChv,DDpw,EEfh,647.8
AAdk,BBtw,CChv,DDnt,EElp,907.89
AAdk,BBtw,CChv,DDtv,EEfx,267.41
AAdk,BBtw,CChv,DDpw,EEhr,269.13
AAdk,BBtw,CChv,DDnt,EEhl,405.67
AAdk,BBtw,CChv,DDtv,EEkz,406.11
AAdk,BBtw,CChv,DDpw,EEdn,23.74
AAdk,BBst,CChv,DDnt,EEdn,533.67
AAdk,BBst,CChv,DDtv,EEmn,537.51
AAdk,BBst,CChv,DDpw,EEfh,409.38
AAdk,BBst,CChv,DDnt,EElp,547.05
AAdk,BBst,CChv,DDtv,EEfx,942.8
AAdk,BBst,CChv,DDpw,EEhr,431.68
AAdk,BBst,CChv,DDnt,EEhl,185.57
AAdk,BBst,CChv,DDtv,EEkz,705.4
AAdk,BBst,CChv,DDpw,EEdn,195.32
AAdk,BBtw,CChv,DDnt,EEdn,465.29
AAdk,BBtw,CChv,DDtv,EEmn,338.93
AAdk,BBtw,CChv,DDpw,EEfh,723.46
AAdk,BBtw,CChv,DDnt,EElp,596.36
AAdk,BBtw,CChv,DDtv,EEfx,341.67
AAdk,BBtw,CChv,DDpw,EEhr,343.0
AAdk,BBtw,CChv,DDnt,EEhl,119.94
AAdk,BBtw,CChv,DDtv,EEkz,217.59
AAdk,BBtw,CChv,DDpw,EEdn,89.6
AAdk,BBst,CChv,DDnt,EEdn,220.83
AAdk,BBst,CChv,DDtv,EEmn,228.89
AAdk,BBst,CChv,DDpw,EEfh,366.5
AAdk,BBst,CChv,DDnt,EElp,495.43
AAdk,BBst,CChv,DDtv,EEfx,884.62
AAdk,BBst,CChv,DDpw,EEhr,887.09
AAdk,BBst,CChv,DDnt,EEhl,253.69
AAdk,BBst,CChv,DDtv,EEkz,126.04
AAdk,BBst,CChv,DDpw,EEdn,895.71
