CC,DD,AApqr_BBbgp,AApqr_BBcjx,AApqr_BBnqx,AAcy_BBbkv,AAcy_BBhpt,AAmz_BBdhv,AAmz_BBbpv,AAmz_BBgqt
CCfnw,,8.68,-35.47,16.36,-3.21,33.20,-13.38,19.85,32.20
,  DDkrs,88.27,-81.11,4.75,-92.09,67.30,-23.35,-70.89,29.99
,  DDgv,-28.12,-74.28,26.24,41.36,84.29,-3.65,67.83,35.14
,  DDqz,-34.11,48.97,18.08,41.11,-52.00,-13.14,62.62,31.47
CChpx,,9.71,-35.19,19.97,-4.32,36.36,4.67,-21.72,-54.06
,  DDlmr,88.01,-81.30,12.06,39.30,74.96,25.06,-68.97,-98.53
,  DDcmp,-31.12,-79.63,22.73,-86.50,-51.61,-10.06,-63.09,29.22
,  DDdlz,-27.75,55.35,25.13,34.24,85.72,-1.00,66.91,-92.88
CCbt,,50.08,48.61,15.42,-47.93,30.13,-16.54,19.17,-12.04
,  DDmx,87.96,46.94,4.14,-97.66,69.36,-25.03,58.78,28.39
,  DDbmz,-30.45,52.15,25.05,-86.32,-54.97,-9.78,66.98,33.32
,  DDcwz,92.74,46.74,17.07,40.18,75.99,-14.81,-68.25,-97.83
