CC,DD,AAmz_BBdhv,AAmz_BBbpv,AAmz_BBgqt,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,AAcy_BBbkv,AAcy_BBhpt,Average
CChpx,DDcmp,-20.97,-88.79,24.75,5.13,-45.24,86.80,52.12,-63.00,-6.15
,DDlmr,-12.37,-82.44,31.52,10.29,-46.81,-13.88,56.21,-60.45,-14.74
,DDdlz,-13.17,-82.88,27.87,8.30,-41.68,93.32,57.09,-61.14,-1.54
,DDqtw,-6.52,-75.82,35.36,14.43,-38.84,99.02,63.59,-58.98,4.03
CCbt,DDcwz,-21.23,-93.80,19.69,3.60,-47.67,78.19,45.40,-65.29,-10.14
,DDmpy,-8.08,-78.63,24.94,7.13,-40.32,92.28,61.37,-61.66,-0.37
,DDbmz,-19.09,-88.41,25.28,7.65,-43.39,87.70,55.83,-62.32,-4.59
,DDmx,-14.88,-85.53,27.66,7.15,-46.07,35.03,54.42,-62.40,-10.58
CCfnw,DDgv,-18.31,-85.60,26.57,8.07,-43.28,92.27,55.29,-61.36,-3.29
,DDkrs,-13.52,-83.25,29.13,8.14,-45.17,35.37,54.71,-62.06,-9.58
,DDknr,-7.23,-77.41,31.33,13.49,-39.07,93.82,61.33,-58.45,2.23
,DDqz,-22.56,-89.17,22.84,4.18,-45.76,84.46,46.42,-64.68,-8.03
Average,,-14.83,-84.31,27.24,8.13,-43.61,72.03,55.32,-61.82,-5.23
