DD,EE,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv
Maximum,,26.85,15.65,27.24,10.48,19.08,13.58,2.41,20.02
,  ,26.85,15.65,27.24,10.48,19.08,13.58,2.41,20.02
DDmx,,26.85,15.65,26.43,10.30,19.08,12.90,2.41,20.02
,  EEmz,26.85,7.50,24.30,1.95,3.04,9.82,0.06,18.40
,  EEkqy,2.24,14.79,26.09,8.03,19.08,11.60,2.19,20.02
,  EEcrv,8.17,15.65,26.43,10.30,1.76,12.90,2.41,15.91
DDcy,,24.92,15.18,27.24,10.48,17.56,13.58,2.39,18.81
,  EEqz,8.49,15.18,27.24,9.78,2.97,12.71,2.39,17.43
,  EEmz,2.44,8.59,24.23,10.48,2.91,13.58,1.88,14.04
,  EEbkv,24.92,13.67,24.11,6.36,17.56,10.94,1.59,18.81
