AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,34.93
AAdk,BBtw,CCst,DDnw,414.26
AAdk,BBtw,CChv,DDrz,420.34
AAdk,BBtw,CCst,DDcl,455.09
AAdk,BBtw,CChv,DDlp,297.81
AAdk,BBtw,CCst,DDnt,554.82
AAdk,BBrv,CChv,DDnt,298.49
AAdk,BBrv,CCst,DDnw,781.14
AAdk,BBrv,CChv,DDrz,429.64
AAdk,BBrv,CCst,DDcl,251.03
AAdk,BBrv,CChv,DDlp,690.01
AAdk,BBrv,CCst,DDnt,535.5
AAdk,BBtw,CChv,DDnt,600.06
AAdk,BBtw,CCst,DDnw,953.84
AAdk,BBtw,CChv,DDrz,795.33
AAdk,BBtw,CCst,DDcl,349.49
AAdk,BBtw,CChv,DDlp,93.96
AAdk,BBtw,CCst,DDnt,190.61
