DD,EE,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbt,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,AAgqt_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs
DDmx,,12.73,13.30,60.47,-22.33,60.11,-89.47
,  EEcrv,15.76,-49.23,63.84,-20.91,92.17,-88.74
,  EEmz,2.95,-58.11,54.97,-28.50,88.27,-96.06
,  EEbhk,23.72,86.91,67.96,-14.38,98.18,-81.50
,  EEkqy,8.48,73.64,55.12,-25.53,-38.18,-91.57
DDcy,,15.81,14.52,-2.44,-19.20,28.99,9.67
,  EEmpy,26.36,87.45,68.18,-11.76,-29.38,53.91
,  EEqz,10.85,78.87,-67.65,-22.33,92.86,-89.97
,  EEbkv,2.37,-58.25,55.68,-26.49,86.08,35.01
,  EEdhv,23.67,-49.99,-65.97,-16.23,-33.60,39.75
