DD,EE,AAgqt_BBlsx_CCcqx,AAgqt_BBnry_CCbt,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,AApqr_BBhpt_CCkrs
DDcy,EEkqy,-3.17,80.95,47.35,26.09,66.95,-38.30
,EEqz,-28.37,69.71,-96.83,8.38,-76.18,84.26
,EEbkv,-33.31,-59.33,28.48,3.39,48.11,-46.31
,EEdhv,-23.93,75.61,36.33,12.56,-67.20,-42.34
,EEmz,-15.95,76.18,40.14,16.54,62.68,-40.50
DDmx,EEkqy,-32.68,-58.72,29.91,6.61,-76.00,83.48
,EEbkv,-6.40,78.33,-85.49,15.37,-63.47,88.24
,EEbhk,-16.00,76.66,-90.67,15.35,-66.67,-44.59
,EEcrv,-24.77,-55.10,-95.01,9.39,58.01,81.51
,EEmz,-34.51,65.58,27.57,2.45,47.51,80.50
