CC,DD,AAfnw_BBknr,AAfnw_BBkrs,AAfnw_BBbgp,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBnqx,AApqr_BBqz,AApqr_BBlt,Minimum,EE,FF
CCbt,,91.94,10.47,68.81,0.04,71.08,1.38,51.42,75.85,0.04,,
,  DDmx,91.94,10.47,68.81,32.77,71.08,1.38,51.42,75.85,1.38,EEmz,FFgqt
,  DDbmz,99.19,21.70,72.11,0.04,74.75,6.49,63.56,87.15,0.04,EEmz,FFgqt
,  DDcwz,96.98,13.06,70.54,40.85,76.56,4.25,54.60,84.36,4.25,EEmz,FFgqt
CCcy,,93.81,13.99,69.02,35.29,71.23,1.26,53.89,75.34,1.26,,
,  DDmx,99.54,24.76,71.69,51.49,79.37,9.78,66.20,88.79,9.78,EEmz,FFgqt
,  DDbkv,93.81,13.99,69.02,35.29,74.45,1.26,53.89,75.34,1.26,EEmz,FFgqt
,  DDhpt,98.71,20.47,69.36,45.21,71.23,4.05,62.98,84.03,4.05,EEmz,FFgqt
Minimum,,91.94,10.47,68.81,0.04,71.08,1.26,51.42,75.34,0.04,,
,  ,91.94,10.47,68.81,0.04,71.08,1.26,51.42,75.34,0.04,,
