CC,DD,AAmz_BBgqt,AAmz_BBbpv,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBcjx,AApqr_BBbgp,AApqr_BBnqx,Average
CCfnw,,59.15,-69.44,-45.87,69.66,-83.20,-14.76,16.49,-9.71
,  DDkrs,57.92,-68.56,-47.74,38.69,-84.02,-13.52,20.43,-13.83
,  DDgv,65.62,-67.08,-40.93,88.16,-80.65,-12.32,22.05,-3.59
,  DDqz,53.90,-72.69,-48.93,82.14,-84.92,-18.43,7.00,-11.70
CCbt,,55.92,-60.76,-49.71,84.67,-86.74,-16.19,13.98,-8.40
,  DDbmz,61.14,-70.99,-44.88,87.72,-84.27,-13.13,21.22,-6.17
,  DDmx,54.41,-39.57,-50.52,85.01,-87.14,-17.28,14.88,-5.74
,  DDcwz,52.21,-71.73,-53.72,81.29,-88.82,-18.16,5.84,-13.30
CChpx,,62.51,-67.87,-41.80,71.69,-82.16,-11.63,18.23,-7.29
,  DDdlz,68.58,-66.59,-38.33,92.38,-79.03,-9.32,25.04,-1.04
,  DDlmr,60.52,-67.95,-41.94,39.62,-83.44,-11.30,20.85,-11.95
,  DDcmp,58.44,-69.08,-45.12,83.08,-84.01,-14.26,8.81,-8.88
Average,,59.19,-66.03,-45.79,75.34,-84.03,-14.19,16.24,-8.47
,  ,59.19,-66.03,-45.79,75.34,-84.03,-14.19,16.24,-8.47
