Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,576.07
AAdk,BBtw,CCst,DDnw,994.23
AAdk,BBtw,CChv,DDrz,163.7
AAdk,BBtw,CCst,DDcl,36.81
AAdk,BBtw,CChv,DDlp,549.81
AAdk,BBtw,CCst,DDcs,998.57
AAdk,BBrv,CChv,DDnt,326.99
AAdk,BBrv,CCst,DDnw,135.65
AAdk,BBrv,CChv,DDrz,613.18
AAdk,BBrv,CCst,DDcl,74.65
AAdk,BBrv,CChv,DDlp,331.82
AAdk,BBrv,CCst,DDcs,163.59
AAdk,BBtw,CChv,DDnt,557.88
AAdk,BBtw,CCst,DDnw,247.54
AAdk,BBtw,CChv,DDrz,25.56
AAdk,BBtw,CCst,DDcl,90.99
AAdk,BBtw,CChv,DDlp,572.15
AAdk,BBtw,CCst,DDcs,158.4
