CC,DD,AAmz_BBgqt,AAmz_BBbpv,AAcy_BBbkv,AAcy_BBhpt,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx
CCfnw,DDqz,26.58,65.34,28.96,73.90,98.17,5.81,51.64
,DDgv,29.60,69.92,44.45,85.69,98.94,14.10,51.50
,DDkrs,20.87,60.26,32.83,71.05,91.57,1.62,48.18
CChpx,DDcmp,27.54,67.56,29.19,83.90,99.99,11.61,52.56
,DDlmr,23.11,61.01,28.15,72.14,91.44,3.37,49.12
,DDmx,30.36,70.40,46.63,86.33,97.66,17.87,55.31
CCbt,DDcwz,23.10,65.83,34.97,65.67,97.54,4.43,48.69
,DDbmz,27.39,68.46,43.63,84.27,99.15,13.53,50.82
,DDmx,18.71,55.29,29.00,71.32,83.80,0.70,46.90
Minimum,,18.71,55.29,28.15,65.67,83.80,0.70,46.90
