DD,EE,AAgqt_BBnry_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBhpt_CCbt,AApqr_BBlmr_CCbt,AApqr_BBnqx_CCbt,Average
DDmx,EEqz,73.88,-87.66,99.42,-72.41,10.86,4.82
,EEbhk,79.96,-85.82,-21.55,-65.10,19.20,-14.66
,EEmz,69.29,35.39,93.55,-75.65,2.31,24.98
,EEksy,-42.56,-80.71,-8.49,-62.27,30.99,-32.61
DDcy,EEmpy,-44.14,-83.22,-15.42,63.81,22.27,-11.34
,EEcrv,75.03,-86.16,99.87,59.05,11.19,31.80
,EEmz,88.92,-79.20,-5.06,64.26,33.61,20.51
,EEbkv,69.91,-90.82,-34.22,-74.77,7.50,-24.48
DDcjx,EEhq,86.91,46.29,-14.30,64.07,26.62,41.92
,EEkqy,73.29,38.58,96.83,-73.54,8.53,28.74
,EEdhv,-52.61,-85.15,-26.65,61.87,12.47,-18.01
,EEbkv,92.47,49.52,-2.66,68.77,33.89,48.40
Average,,47.53,-42.41,21.78,-3.49,18.29,8.34
