CC,DD,AApqr_BBbkv,AApqr_BBnqx,AApqr_BBbpv,AAmz_BBcjx,AAmz_BBgqt,AAmz_BBhpt,Minimum
CCfnw,,56.30,15.49,79.57,70.88,35.10,91.33,15.49
,  DDkrs,56.30,15.49,79.57,70.88,35.10,91.33,15.49
,  DDgv,63.05,32.84,88.75,76.21,47.03,96.14,32.84
,  DDqz,62.00,25.80,83.74,73.60,42.33,94.76,25.80
CCbt,,48.52,5.84,70.22,69.53,35.02,90.48,5.84
,  DDmx,48.52,5.84,70.22,69.53,35.02,90.48,5.84
,  DDcwz,60.40,23.20,82.48,72.56,41.50,91.50,23.20
,  DDbmz,64.52,30.40,87.39,70.21,45.57,96.65,30.40
CChpx,,58.17,18.52,80.18,71.28,37.74,91.12,18.52
,  DDcmp,63.38,29.37,82.42,74.85,42.30,96.02,29.37
,  DDdlz,64.78,34.03,89.04,74.28,48.86,98.36,34.03
,  DDlmr,58.17,18.52,80.18,71.28,37.74,91.12,18.52
