CC,DD,AAcqx_BBgv,AAcqx_BBcjx,AAfnw_BBkrs,AAfnw_BBbgp,AAfnw_BBknr,AApqr_BBqz,AApqr_BBlt,AApqr_BBnqx,EE,FF
Minimum,,68.60,38.80,16.04,63.13,87.82,52.50,81.46,3.31,,
,  ,68.60,38.80,16.04,63.13,87.82,52.50,81.46,3.31,,
CCcy,,70.22,39.75,23.65,63.24,88.06,53.31,83.88,4.36,,
,  DDmx,77.84,48.21,32.38,68.21,98.65,62.20,88.67,13.94,EEmz,FFlmr
,  DDhpt,73.87,45.54,25.30,66.04,93.09,58.77,86.18,6.58,EEmz,FFlmr
,  DDbkv,70.22,39.75,23.65,63.24,88.06,53.31,83.88,4.36,EEmz,FFlmr
CCbt,,68.60,38.80,16.04,63.13,87.82,52.50,81.46,3.31,,
,  DDmx,68.60,38.80,16.04,63.13,87.82,52.50,81.46,3.31,EEmz,FFgqt
,  DDbmz,76.92,46.70,24.85,63.43,96.68,60.37,87.39,10.73,EEmz,FFgqt
,  DDcwz,71.58,44.98,24.86,64.90,91.58,57.45,84.34,5.94,EEmz,FFgqt
