Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,133.14
AAdk,BBtw,CCst,DDnw,527.49
AAdk,BBtw,CChv,DDrz,147.18
AAdk,BBtw,CCst,DDcl,660.81
AAdk,BBtw,CChv,DDlp,663.53
AAdk,BBtw,CCst,DDcs,29.61
AAdk,BBrv,CChv,DDnt,544.7
AAdk,BBrv,CCst,DDnw,293.94
AAdk,BBrv,CChv,DDrz,805.69
AAdk,BBrv,CCst,DDcl,423.78
AAdk,BBrv,CChv,DDlp,423.19
AAdk,BBrv,CCst,DDcs,43.27
AAdk,BBmn,CChv,DDnt,574.03
AAdk,BBmn,CCst,DDnw,834.54
AAdk,BBmn,CChv,DDrz,964.6
AAdk,BBmn,CCst,DDcl,197.68
AAdk,BBmn,CChv,DDlp,330.25
AAdk,BBmn,CCst,DDcs,975.48
AAdk,BBtw,CChv,DDnt,978.8
AAdk,BBtw,CCst,DDnw,472.25
AAdk,BBtw,CChv,DDrz,348.37
AAdk,BBtw,CCst,DDcl,736.75
AAdk,BBtw,CChv,DDlp,631.36
AAdk,BBtw,CCst,DDcs,635.66
