AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,902.7
AAdk,BBtw,CCst,DDnw,903.03
AAdk,BBtw,CCbx,DDrz,408.31
AAdk,BBtw,CChv,DDcl,544.87
AAdk,BBtw,CCst,DDlp,164.69
AAdk,BBtw,CCbx,DDcs,421.07
AAdk,BBrv,CChv,DDnt,424.02
AAdk,BBrv,CCst,DDnw,186.85
AAdk,BBrv,CCbx,DDrz,187.07
AAdk,BBrv,CChv,DDcl,829.6
AAdk,BBrv,CCst,DDlp,702.57
AAdk,BBrv,CCbx,DDcs,328.11
AAdk,BBmn,CChv,DDnt,333.24
AAdk,BBmn,CCst,DDnw,335.39
AAdk,BBmn,CCbx,DDrz,210.44
AAdk,BBmn,CChv,DDcl,340.5
AAdk,BBmn,CCst,DDlp,610.78
AAdk,BBmn,CCbx,DDcs,868.38
AAdk,BBtw,CChv,DDnt,358.49
AAdk,BBtw,CCst,DDnw,487.81
AAdk,BBtw,CCbx,DDrz,233.65
AAdk,BBtw,CChv,DDcl,875.99
AAdk,BBtw,CCst,DDlp,753.76
AAdk,BBtw,CCbx,DDcs,764.02
