DD,EE,AApqr_BBfnw_CCbpv,AApqr_BBnqx_CCbt,AAhpx_BBnqx_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBnqx_CCprw
DDcy,,26.96,7.56,23.59,16.64,16.62
,  EEmpy,8.36,7.56,23.59,16.64,6.80
,  EEbkv,26.96,0.61,19.71,10.14,15.60
,  EEcrv,23.84,2.62,22.86,13.50,16.62
DDcjx,,27.91,8.48,23.69,14.21,18.16
,  EEdhv,26.77,5.37,23.69,14.21,18.16
,  EEmz,13.38,8.48,23.34,12.77,6.62
,  EEkqy,27.91,1.58,20.76,10.19,15.20
DDmx,,26.49,5.29,22.73,15.82,16.56
,  EEbhk,8.15,5.29,22.73,15.82,6.21
,  EEmz,26.49,0.44,14.80,7.39,15.79
,  EEqz,23.90,2.92,21.00,12.31,16.56
Maximum,,27.91,8.48,23.69,16.64,18.16
,  ,27.91,8.48,23.69,16.64,18.16
