DD,EE,AApqr_BBhpt_CCbt,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCbpv
DDcjx,,-13.19,17.88,21.70,19.73,21.14
,  EEkqy,-15.07,17.71,63.21,-24.76,21.77
,  EEdhv,-13.80,14.06,-66.35,36.58,82.22
,  EEhq,-10.71,21.86,68.23,47.38,-40.58
DDcy,,4.98,16.81,-2.31,-25.47,62.33
,  EEbkv,45.60,16.46,-1.74,-24.50,17.43
,  EEcrv,-19.38,12.45,-68.35,-94.74,81.56
,  EEmpy,-11.28,21.53,63.16,42.84,87.99
DDmx,,2.79,13.95,39.10,-50.28,16.16
,  EEbhk,-13.73,17.95,62.40,-92.31,86.43
,  EEqz,-21.63,11.42,58.06,-96.40,-51.56
,  EEmz,43.72,12.50,-3.18,37.87,13.60
