CC,DD,AAdk_BBpw,AAdk_BBqx,AAdk_BBtw,AAst_BBnw,AAst_BBlp,EE,FF
CChv,,51.21,93.86,11.53,25.95,72.53,,
,  DDhz,60.24,98.52,11.53,45.68,81.04,EEbx,FFcs
,  DDnt,51.21,93.86,11.57,25.95,72.53,EEdn,FFrv
CCtv,,55.64,95.67,11.80,39.25,73.34,,
,  DDmn,55.64,95.67,11.80,39.25,73.34,EEbx,FFrz
,  DDhm,61.49,98.28,15.92,46.13,81.79,EEdn,FFrv
CCfh,,59.03,96.82,13.09,43.74,78.26,,
,  DDcl,59.03,96.82,13.09,43.74,78.26,EEdn,FFdl
,  DDps,69.72,98.41,19.78,49.81,83.50,EEbx,FFrz
Minimum,,51.21,93.86,11.53,25.95,72.53,,
,  ,51.21,93.86,11.53,25.95,72.53,,
