CC,DD,AAdk_BBmn,AAdk_BBtw,AAdk_BBrv,Average
CCbx,,762.88,597.38,347.31,569.19
,  DDrz,831.32,820.23,292.90,648.15
,  DDnw,476.24,141.26,442.84,353.45
,  DDcs,981.09,830.65,306.20,705.98
CCst,,675.25,485.40,514.78,558.48
,  DDnw,958.69,752.65,164.28,625.21
,  DDnt,475.03,266.67,948.86,563.52
,  DDlp,592.03,436.87,431.20,486.70
CChv,,459.13,460.17,427.05,448.79
,  DDnt,445.72,495.51,34.64,325.29
,  DDcl,842.22,565.06,427.91,611.73
,  DDhm,89.46,319.94,818.61,409.34
Average,,632.42,514.32,429.72,525.48
,  ,632.42,514.32,429.72,525.48
