AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,385.01
AAdk,BBtw,CChv,DDtv,EEmn,649.83
AAdk,BBtw,CChv,DDnt,EEfh,274.83
AAdk,BBtw,CChv,DDtv,EElp,788.2
AAdk,BBtw,CChv,DDnt,EEfx,21.3
AAdk,BBtw,CChv,DDtv,EEhr,533.96
AAdk,BBst,CChv,DDnt,EEdn,534.59
AAdk,BBst,CChv,DDtv,EEmn,286.36
AAdk,BBst,CChv,DDnt,EEfh,286.35
AAdk,BBst,CChv,DDtv,EElp,545.89
AAdk,BBst,CChv,DDnt,EEfx,545.28
AAdk,BBst,CChv,DDtv,EEhr,423.71
AAdk,BBrz,CChv,DDnt,EEdn,173.83
AAdk,BBrz,CChv,DDtv,EEmn,175.52
AAdk,BBrz,CChv,DDnt,EEfh,827.95
AAdk,BBrz,CChv,DDtv,EElp,60.14
AAdk,BBrz,CChv,DDnt,EEfx,702.85
AAdk,BBrz,CChv,DDtv,EEhr,839.89
AAdk,BBtw,CChv,DDnt,EEdn,199.41
AAdk,BBtw,CChv,DDtv,EEmn,722.43
AAdk,BBtw,CChv,DDnt,EEfh,855.76
AAdk,BBtw,CChv,DDtv,EElp,92.85
AAdk,BBtw,CChv,DDnt,EEfx,606.17
AAdk,BBtw,CChv,DDtv,EEhr,736.27
AAdk,BBst,CChv,DDnt,EEdn,992.01
AAdk,BBst,CChv,DDtv,EEmn,357.43
AAdk,BBst,CChv,DDnt,EEfh,249.22
AAdk,BBst,CChv,DDtv,EElp,508.69
AAdk,BBst,CChv,DDnt,EEfx,509.48
AAdk,BBst,CChv,DDtv,EEhr,638.87
