CC,DD,AAmz_BBcjx,AAmz_BBgqt,AApqr_BBbpv,AApqr_BBnqx,AApqr_BBbkv
CChpx,DDlmr,85.24,-87.00,-27.39,13.94,65.05
,DDkrs,91.49,-77.22,-6.93,40.02,-48.48
,DDcmp,91.21,-83.06,-28.68,18.00,-56.98
,DDdlz,-34.55,-78.36,-14.27,31.92,-51.72
CCfnw,DDkrs,-43.77,41.66,-28.59,6.19,-70.11
,DDgv,92.13,-77.55,-14.81,-98.66,74.58
,DDqz,88.23,-83.90,-27.36,17.30,71.53
,DDmx,-32.01,53.57,-10.03,39.95,-48.62
CCbt,DDcwz,-41.61,44.39,-28.30,13.65,65.09
,DDmpy,-36.99,-75.56,-11.00,-93.56,77.26
,DDmx,84.93,41.30,99.45,-0.43,-70.90
,DDbmz,92.51,-78.97,-17.18,25.99,-55.20
