DD,EE,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCjwx,AAhpx_BBlmr_CCcqx
Maximum,,25.51,11.18,17.66,15.56,5.16,23.89,26.53,23.72,16.09
,  ,25.51,11.18,17.66,15.56,5.16,23.89,26.53,23.72,16.09
DDmx,,24.68,8.34,15.09,15.49,4.99,21.41,26.53,23.72,15.84
,  EEcrv,22.02,6.87,4.87,15.49,4.99,21.41,25.29,23.72,15.84
,  EEmz,24.68,6.61,15.09,11.93,0.48,14.46,25.03,18.45,12.78
,  EEkqy,21.53,8.34,4.53,4.92,1.43,3.24,26.53,6.03,14.68
DDcy,,25.51,11.18,17.66,15.56,5.16,23.89,4.85,21.09,16.09
,  EEdhv,22.95,11.18,17.27,15.56,5.16,23.89,4.85,1.57,16.09
,  EEqz,23.31,9.59,17.66,14.28,3.60,21.90,0.69,21.09,15.69
,  EEbkv,25.51,5.06,16.94,11.24,1.41,19.02,0.93,6.70,12.63
