DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCkrs,AAgqt_BBdfv_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbt,AApqr_BBgv_CCbt,AAhpx_BBlsx_CCcqx,AAhpx_BBlmr_CCcqx,Average
DDcjx,,47.19,-86.30,-12.88,18.93,-1.96,-39.37,-65.59,76.71,-7.91
,  EEdhv,41.15,-88.64,-17.13,16.99,97.16,-38.84,-71.27,73.86,1.66
,  EEkqy,37.21,-93.30,-20.37,12.79,89.82,-52.63,-73.68,68.44,-3.97
,  EEhq,51.92,-83.95,-9.49,19.78,-99.60,-35.12,-61.80,78.35,-17.49
,  EEmz,58.48,-79.30,-4.55,26.14,-95.20,-30.89,-55.62,86.18,-11.85
DDmx,,43.20,-90.22,-17.64,14.66,44.28,-42.87,-69.72,72.14,-5.77
,  EEbhk,49.79,-89.02,-15.99,17.48,98.64,-38.09,-68.11,74.14,3.61
,  EEqz,39.23,-94.39,-19.10,13.01,88.78,-46.90,-72.34,68.77,-2.87
,  EEksy,55.11,-83.13,-7.24,20.91,-98.14,-32.28,-60.52,84.90,-15.05
,  EEmz,28.68,-94.34,-28.22,7.25,87.84,-54.20,-77.91,60.73,-8.77
DDcy,,46.25,-88.02,-14.46,17.22,19.16,-43.09,-67.15,73.91,-7.03
,  EEbkv,37.62,-94.17,-21.39,11.93,87.19,-55.39,-77.07,62.26,-6.13
,  EEjvz,55.37,-81.68,-5.83,24.84,-98.24,-32.58,-56.73,84.79,-13.76
,  EEcrv,40.11,-89.41,-17.41,13.80,94.76,-45.49,-72.24,69.81,-0.76
,  EEmpy,51.89,-86.81,-13.23,18.30,-7.09,-38.90,-62.58,78.77,-7.46
