AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,513.11
AAdk,BBtw,CCst,DDnw,771.2
AAdk,BBtw,CCbx,DDrz,389.64
AAdk,BBtw,CChv,DDcl,141.81
AAdk,BBtw,CCst,DDlp,782.91
AAdk,BBtw,CCbx,DDcs,399.73
AAdk,BBtw,CChv,DDhm,22.92
AAdk,BBtw,CCst,DDdf,155.85
AAdk,BBtw,CCbx,DDnt,32.11
AAdk,BBrv,CChv,DDnt,675.0
AAdk,BBrv,CCst,DDnw,550.48
AAdk,BBrv,CCbx,DDrz,552.12
AAdk,BBrv,CChv,DDcl,170.97
AAdk,BBrv,CCst,DDlp,692.49
AAdk,BBrv,CCbx,DDcs,186.06
AAdk,BBrv,CChv,DDhm,586.47
AAdk,BBrv,CCst,DDdf,715.69
AAdk,BBrv,CCbx,DDnt,976.57
AAdk,BBtw,CChv,DDnt,81.78
AAdk,BBtw,CCst,DDnw,465.56
AAdk,BBtw,CCbx,DDrz,84.81
AAdk,BBtw,CChv,DDcl,601.01
AAdk,BBtw,CCst,DDlp,612.47
AAdk,BBtw,CCbx,DDcs,491.31
AAdk,BBtw,CChv,DDhm,492.64
AAdk,BBtw,CCst,DDdf,892.63
AAdk,BBtw,CCbx,DDnt,255.31
