DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlmr_CCbmz,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbpv,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCprw
DDcy,,25.03,19.54,5.68,23.55,26.73,16.54,11.47
,  EEmpy,25.03,7.19,5.68,23.17,25.17,16.54,4.61
,  EEbkv,19.50,5.03,1.57,21.50,24.27,10.63,9.44
,  EEcrv,19.73,19.54,2.93,23.55,26.73,8.81,11.47
DDcjx,,26.70,20.87,8.06,24.20,26.74,17.26,13.98
,  EEhq,26.70,20.87,8.06,24.20,26.74,17.26,4.29
,  EEdhv,21.65,19.85,5.64,23.61,23.47,11.51,13.98
,  EEkqy,19.49,6.69,1.32,21.82,22.10,11.06,9.27
DDmx,,24.63,19.31,3.69,23.13,27.13,11.46,14.80
,  EEbhk,24.63,6.64,3.69,23.13,27.13,7.83,14.80
,  EEmz,18.04,1.89,0.51,6.62,26.98,8.66,7.76
,  EEqz,18.57,19.31,3.19,3.73,22.93,11.46,3.61
