DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AAgqt_BBdfv_CCbpv,AApqr_BBnry_CCbpv,AApqr_BBnqx_CCbt,AApqr_BBgv_CCcqx,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCkrs
DDmx,EEqz,42.13,-88.24,-13.51,84.90,9.47,-35.65,59.74,-67.52
,EEksy,48.50,-78.43,-7.52,97.36,29.22,-29.27,62.92,-44.77
,EEbhk,46.45,-84.12,-13.64,-8.38,15.24,-32.11,63.30,-50.27
,EEbkv,52.33,-68.61,-4.88,-99.36,37.58,-27.64,72.96,-41.54
,EEmz,40.74,-91.87,-20.91,77.38,3.60,-41.48,56.61,-65.69
DDcjx,EEqz,54.00,-66.12,-1.37,-94.99,39.85,-21.27,77.09,-39.40
,EEkqy,42.60,-91.04,-15.64,80.90,9.61,-36.83,59.24,-68.81
,EEdhv,45.43,-86.23,-11.42,87.25,15.34,-34.86,62.08,-50.37
,EEmz,51.58,-69.47,-5.93,-0.40,36.29,-27.97,68.40,-44.89
,EEhq,48.03,-79.99,-8.33,93.18,29.16,-30.16,65.55,-45.36
DDcy,EEmpy,42.20,-80.81,-9.22,89.49,17.24,-35.24,63.61,-48.40
,EEkqy,54.26,-68.51,-2.54,-97.94,37.49,-25.42,76.27,-41.74
,EEbkv,37.65,-90.33,-18.91,79.99,9.29,-37.89,55.29,-66.79
,EEcrv,44.40,-88.28,-12.41,84.76,13.27,-34.84,61.14,-52.56
,EEjvz,49.93,-75.35,-11.52,97.11,32.58,-33.24,65.51,-43.97
