CC,DD,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,AAfnw_BBkrs,AAfnw_BBqz,EE,FF
CCkqy,,87.84,4.76,51.59,29.80,69.09,,
,  DDbsz,95.96,6.01,55.89,33.26,69.95,EEmz,FFlmr
,  DDcwz,87.84,4.76,51.59,29.80,69.09,EEmz,FFgqt
,  DDbkv,99.71,19.83,57.14,43.61,78.79,EEmz,FFgqt
CCcy,,85.97,3.72,50.76,29.33,68.74,,
,  DDbmz,94.74,4.80,53.40,29.43,71.69,EEmz,FFgqt
,  DDmx,97.23,11.44,58.77,37.78,74.08,EEmz,FFlmr
,  DDbkv,85.97,3.72,50.76,29.33,68.74,EEmz,FFlmr
CCbt,,84.51,1.81,48.25,24.26,65.22,,
,  DDmx,84.51,1.81,48.25,24.26,65.22,EEmz,FFgqt
,  DDmpy,96.08,8.22,57.37,36.09,72.57,EEmz,FFgqt
,  DDhpt,92.68,5.11,52.00,30.25,70.75,EEmz,FFlmr
