CC,DD,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,AAfnw_BBqz,AAfnw_BBgv,AAfnw_BBkrs,Minimum,EE,FF
CCcy,,54.31,0.94,31.73,41.60,87.43,11.53,0.94,,
,  DDbmz,83.43,6.52,37.87,50.03,92.38,26.39,6.52,EEmz,FFgqt
,  DDbkv,54.31,0.94,31.73,41.60,87.43,11.53,0.94,EEmz,FFgqt
CCkqy,,71.50,2.23,35.08,40.12,88.51,14.21,2.23,,
,  DDcwz,71.50,2.23,35.08,40.12,88.51,14.21,2.23,EEmz,FFgqt
,  DDbsz,84.82,9.73,38.85,51.38,96.60,29.28,9.73,EEmz,FFgqt
CCbt,,52.87,0.29,29.35,40.95,86.70,10.09,0.29,,
,  DDmx,52.87,0.29,29.35,40.95,86.70,10.09,0.29,EEmz,FFgqt
,  DDhpt,76.21,1.11,36.19,48.16,90.23,16.76,1.11,EEmz,FFgqt
Minimum,,52.87,0.29,29.35,40.12,86.70,10.09,0.29,,
,  ,52.87,0.29,29.35,40.12,86.70,10.09,0.29,,
