Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,896.83
AAdk,BBtw,CChv,DDtv,EEmn,258.63
AAdk,BBtw,CChv,DDnt,EEfh,261.38
AAdk,BBtw,CChv,DDtv,EElp,521.61
AAdk,BBtw,CChv,DDnt,EEfx,12.42
AAdk,BBtw,CChv,DDtv,EEhr,27.46
AAdk,BBst,CChv,DDnt,EEdn,797.55
AAdk,BBst,CChv,DDtv,EEmn,927.62
AAdk,BBst,CChv,DDnt,EEfh,166.78
AAdk,BBst,CChv,DDtv,EElp,167.85
AAdk,BBst,CChv,DDnt,EEfx,48.58
AAdk,BBst,CChv,DDtv,EEhr,695.95
AAdk,BBrz,CChv,DDnt,EEdn,568.29
AAdk,BBrz,CChv,DDtv,EEmn,58.99
AAdk,BBrz,CChv,DDnt,EEfh,704.42
AAdk,BBrz,CChv,DDtv,EElp,833.98
AAdk,BBrz,CChv,DDnt,EEfx,71.43
AAdk,BBrz,CChv,DDtv,EEhr,456.99
AAdk,BBtw,CChv,DDnt,EEdn,203.14
AAdk,BBtw,CChv,DDtv,EEmn,596.37
AAdk,BBtw,CChv,DDnt,EEfh,724.86
AAdk,BBtw,CChv,DDtv,EElp,727.01
AAdk,BBtw,CChv,DDnt,EEfx,479.0
AAdk,BBtw,CChv,DDtv,EEhr,489.86
AAdk,BBst,CChv,DDnt,EEdn,622.2
AAdk,BBst,CChv,DDtv,EEmn,881.8
AAdk,BBst,CChv,DDnt,EEfh,241.19
AAdk,BBst,CChv,DDtv,EElp,882.48
AAdk,BBst,CChv,DDnt,EEfx,373.61
AAdk,BBst,CChv,DDtv,EEhr,246.41
