CC,DD,EE,FF,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,AAfnw_BBqz,AAfnw_BBkrs
CCcy,DDbmz,EEmz,FFgqt,6.49,94.19,47.78,66.05,31.42
,DDbkv,EEmz,FFgqt,3.22,85.31,44.47,63.20,18.71
,DDhlt,EEmz,FFgqt,9.01,96.11,58.00,75.78,39.15
CCkqy,DDbsz,EEmz,FFgqt,4.99,94.62,51.93,69.64,34.97
,DDmx,EEmz,FFgqt,10.08,98.92,59.67,77.07,43.46
,DDcwz,EEmz,FFgqt,3.94,88.67,45.91,63.38,19.25
CCbt,DDmx,EEmz,FFgqt,1.07,83.67,44.10,61.22,17.59
,DDmpy,EEmz,FFgqt,8.40,96.21,55.51,75.61,37.94
,DDhpt,EEmz,FFgqt,4.52,91.73,46.64,63.17,28.81
Minimum,,,,1.07,83.67,44.10,61.22,17.59
