CC,DD,AAmz_BBbpv,AAmz_BBgqt,AApqr_BBnqx,AApqr_BBcjx,AAcy_BBbkv,AAcy_BBhpt,Minimum
CCbt,DDmx,76.71,28.75,0.26,61.73,51.36,88.34,0.26
,DDcwz,79.35,32.52,12.73,65.84,54.51,95.91,12.73
,DDbmz,81.56,41.47,20.91,66.51,56.07,96.89,20.91
CChpx,DDlmr,77.80,30.17,12.78,65.80,53.40,92.96,12.78
,DDkrs,88.95,44.22,22.32,74.03,59.62,96.83,22.32
,DDcmp,81.99,37.05,15.90,68.92,56.33,95.80,15.90
CCfnw,DDmx,85.33,42.41,21.04,74.62,59.02,95.39,21.04
,DDkrs,75.47,28.02,7.53,61.72,52.24,90.92,7.53
,DDqz,80.84,34.12,12.77,67.54,55.83,95.16,12.77
Minimum,,75.47,28.02,0.26,61.72,51.36,88.34,0.26
