DD,EE,AAhpx_BBnqx_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBnqx_CCprw,AApqr_BBfnw_CCbpv,AApqr_BBnqx_CCbt
Maximum,,25.89,16.98,21.14,27.76,7.29
,  ,25.89,16.98,21.14,27.76,7.29
DDmx,,24.74,15.18,18.40,27.76,5.80
,  EEqz,21.27,8.69,15.91,27.10,3.12
,  EEbhk,24.74,15.18,18.40,25.46,5.80
,  EEmz,16.80,9.32,2.18,27.76,0.85
DDcy,,25.89,16.21,20.12,25.71,7.29
,  EEcrv,17.15,8.16,16.59,24.78,1.80
,  EEbkv,19.35,9.70,13.01,22.75,1.75
,  EEmpy,25.89,16.21,20.12,25.71,7.29
DDcjx,,25.27,16.98,21.14,27.38,5.87
,  EEkqy,16.31,11.24,14.55,25.59,2.84
,  EEdhv,15.13,14.96,17.89,27.38,5.87
,  EEmz,25.27,16.98,21.14,27.33,2.72
