DD,EE,AAdk_BBtw_CChv,AAdk_BBrz_CCdt,AArv_BBst_CCnw,AArv_BBsy_CChv
Average,,-5.61,10.54,-56.75,-2.17
,  ,-5.61,10.54,-56.75,-2.17
DDtv,,-4.05,-1.28,-29.55,-0.94
,  EEdn,-95.40,-46.88,49.04,-25.05
,  EEhr,27.64,78.50,-82.78,-26.36
,  EEfh,36.56,83.28,-68.25,-10.45
,  EElp,7.73,-57.49,43.09,-29.68
,  EEmn,3.24,-63.82,-88.83,86.85
DDnt,,-7.17,22.35,-83.95,-3.41
,  EEdn,1.97,65.04,-89.05,84.63
,  EEfx,18.15,71.36,-83.74,-27.52
,  EEfh,6.56,68.90,-88.66,-31.27
,  EEmn,34.42,-45.66,-76.68,-17.65
,  EEhl,-96.94,-47.87,-81.61,-25.25
