DD,EE,AAhpx_BBlsx_CCcqx,AAhpx_BBlmr_CCcqx,AApqr_BBgv_CCbt,AApqr_BBnry_CCbt,AApqr_BBnqx_CCbt,AAgqt_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs
Average,,-26.55,67.05,-10.89,-75.04,16.18,-50.29,48.29
,  ,-26.55,67.05,-10.89,-75.04,16.18,-50.29,48.29
DDcy,,-26.88,77.03,-11.26,-85.74,16.49,-49.72,49.44
,  EEbkv,-28.02,77.66,-12.45,-84.34,20.26,-52.42,49.62
,  EEmpy,-22.53,82.78,-12.23,-81.32,20.30,-46.62,51.87
,  EEcrv,-30.10,70.66,-9.11,-91.56,8.91,-50.12,46.83
DDcjx,,-25.56,49.55,-9.47,-83.43,17.31,-48.41,49.89
,  EEkqy,-25.08,79.49,-7.64,-83.48,20.00,-50.95,51.42
,  EEhq,-21.72,-8.78,-12.52,-77.01,21.05,-43.35,51.18
,  EEdhv,-29.89,77.94,-8.25,-89.81,10.89,-50.92,47.07
DDmx,,-27.19,74.58,-11.94,-55.95,14.74,-52.76,45.55
,  EEmz,-28.39,76.95,-12.77,11.53,17.44,-52.92,47.65
,  EEqz,-30.13,67.27,-10.58,-93.89,8.58,-57.40,45.50
,  EEbhk,-23.05,79.50,-12.46,-85.48,18.21,-47.95,43.49
